"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Apr 10 19:45:41 EDT 2023","Mon Apr 10 19:45:57 EDT 2023","16199","","Hotels Signup","","","","TC-25 Verify user can submit feedback after completing the feedback form",""
"broken","Tue Apr 18 20:28:43 EDT 2023","Tue Apr 18 20:29:19 EDT 2023","35706","","Hotels Signup","","","","TC-20 Verify error message for invalid data in SignUp form",""
"passed","Sat Apr 15 18:37:46 EDT 2023","Sat Apr 15 18:38:00 EDT 2023","14417","","List property","","","","TC-29 Verify ""List your Property"" flow",""
"broken","Sun Apr 09 09:33:06 EDT 2023","Sun Apr 09 09:33:17 EDT 2023","10799","","Hotels Signup","","","","Verify error message for invalid data in SignUp form",""
"broken","Mon Apr 17 20:54:01 EDT 2023","Mon Apr 17 20:54:19 EDT 2023","18214","","Hotels Signup","","","","TC-20 Verify error message for invalid data in SignUp form",""
"broken","Thu Apr 13 22:55:27 EDT 2023","Thu Apr 13 22:55:30 EDT 2023","2679","","Verify language is correct","","","","TC-31 Verify language can be changed successfully",""
"broken","Sat Apr 15 13:20:23 EDT 2023","Sat Apr 15 13:20:31 EDT 2023","8385","","List property","","","","TC-29 Verify ""List your Property"" flow",""
"broken","Mon Apr 17 21:09:26 EDT 2023","Mon Apr 17 21:09:45 EDT 2023","19014","","Hotels Signup","","","","TC-20 Verify error message for invalid data in SignUp form",""
"broken","Mon Apr 17 20:11:58 EDT 2023","Mon Apr 17 20:12:20 EDT 2023","22168","","Hotels Signup","","","","TC-20 Verify error message for invalid data in SignUp form",""
"passed","Tue Apr 11 19:12:57 EDT 2023","Tue Apr 11 19:13:18 EDT 2023","20400","","Hotels Signup","","","","TC-24 Verify error is displayed when user submits the empty feedback form",""
"broken","Sun Apr 16 15:17:14 EDT 2023","Sun Apr 16 15:17:19 EDT 2023","4428","","blacklog testing on hotel.com","","","","TC-17 Verify past dates and back button on Current month's calendar is disabled",""
"broken","Sat Apr 08 15:41:44 EDT 2023","Sat Apr 08 15:41:53 EDT 2023","9331","","Hotels Signup","","","","Verify error message for invalid data in SignUp form",""
